Pepper Powder,5,100,	 Total = 500
Wheat,1,100,	 Total = 100
Peanut Butter,2,160,	 Total = 320
Bread,1,160,	 Total = 160
Rotti,1,100,	 Total = 100
Rice,5,250,	 Total = 1250
Sugar,1,100,	 Total = 100
Salt,5,140,	 Total = 700
Sugar,8,140,	 Total = 1120
Bread,1,100,	 Total = 100
Rotti,1,160,	 Total = 160
Pepper Powder,1,150,	 Total = 150
Vegetables,1,80,	 Total = 80
Coffee Powder,6,160,	 Total = 960
Wheat,8,100,	 Total = 800
Pepper Powder,5,160,	 Total = 800
Rice,1,100,	 Total = 100
Peanut Butter,8,250,	 Total = 2000
Coffee Powder,5,100,	 Total = 500
Vegetables,3,160,	 Total = 480
Pepper Powder,3,150,	 Total = 450
Bread,1,100,	 Total = 100
Pepper Powder,2,140,	 Total = 280
Bread,1,160,	 Total = 160
Vegetables,1,160,	 Total = 160
Rice,2,100,	 Total = 200
Vegetables,6,140,	 Total = 840
Sugar,5,160,	 Total = 800
Vegetables,2,250,	 Total = 500
Vegetables,2,140,	 Total = 280
Peanut Butter,6,150,	 Total = 900
Vegetables,3,140,	 Total = 420
Pepper Powder,8,100,	 Total = 800
Rice,1,100,	 Total = 100
Rotti,1,160,	 Total = 160
Rice,1,100,	 Total = 100
Peanut Butter,2,250,	 Total = 500
Wheat,5,150,	 Total = 750
Bread,8,250,	 Total = 2000
Pepper Powder,2,140,	 Total = 280
Coffee Powder,1,100,	 Total = 100
Bread,1,250,	 Total = 250
Vegetables,1,160,	 Total = 160
Rice,2,160,	 Total = 320
Sugar,1,150,	 Total = 150
Bread,6,80,	 Total = 480
Vegetables,1,80,	 Total = 80
Rotti,3,80,	 Total = 240
Sugar,6,250,	 Total = 1500
Salt,2,160,	 Total = 320
Pepper Powder,1,140,	 Total = 140
Rotti,1,160,	 Total = 160
Peanut Butter,8,150,	 Total = 1200
Sugar,5,100,	 Total = 500
Coffee Powder,1,160,	 Total = 160
Rice,7,140,	 Total = 980
Bread,1,250,	 Total = 250
Coffee Powder,3,100,	 Total = 300
Rice,8,100,	 Total = 800
Peanut Butter,1,100,	 Total = 100
Wheat,2,140,	 Total = 280
Wheat,1,80,	 Total = 80
Bread,6,140,	 Total = 840
Wheat,2,150,	 Total = 300
Wheat,2,140,	 Total = 280
Vegetables,1,160,	 Total = 160
Wheat,5,160,	 Total = 800
Sugar,3,140,	 Total = 420
Pepper Powder,2,160,	 Total = 320
Peanut Butter,5,160,	 Total = 800
Rice,5,80,	 Total = 400
Coffee Powder,8,140,	 Total = 1120
Peanut Butter,5,100,	 Total = 500
Coffee Powder,1,100,	 Total = 100
Peanut Butter,1,100,	 Total = 100
Wheat,2,140,	 Total = 280
Pepper Powder,1,160,	 Total = 160
Peanut Butter,6,160,	 Total = 960
Rotti,1,250,	 Total = 250
Rice,5,100,	 Total = 500
Bread,2,150,	 Total = 300
Rice,1,140,	 Total = 140
Rice,1,150,	 Total = 150
Bread,8,100,	 Total = 800
Bread,1,140,	 Total = 140
Rice,3,160,	 Total = 480
Wheat,1,100,	 Total = 100
Vegetables,2,100,	 Total = 200
Salt,3,100,	 Total = 300
Sugar,1,160,	 Total = 160
Vegetables,2,100,	 Total = 200
Pepper Powder,8,100,	 Total = 800
Vegetables,6,150,	 Total = 900
Rice,6,150,	 Total = 900
Sugar,8,140,	 Total = 1120
Bread,2,80,	 Total = 160
Pepper Powder,8,160,	 Total = 1280
Rotti,2,100,	 Total = 200
Rice,7,140,	 Total = 980
Wheat,1,100,	 Total = 100
